,source,target,weight
399,21,20,20
400,21,22,18
401,21,23,17
402,21,24,16
403,21,25,15
404,21,26,14
405,21,27,13
406,21,28,12
407,21,29,11
408,21,30,10
409,21,31,9
410,21,32,8
411,21,33,7
412,21,34,6
413,21,35,5
414,21,36,4
415,21,37,3
416,21,38,2
417,21,39,1
418,22,20,20
419,22,21,19
420,22,23,17
421,22,24,16
422,22,25,15
423,22,26,14
424,22,27,13
425,22,28,12
426,22,29,11
427,22,30,10
428,22,31,9
429,22,32,8
430,22,33,7
431,22,34,6
432,22,35,5
433,22,36,4
434,22,37,3
435,22,38,2
436,22,39,1
437,23,20,20
438,23,21,19
439,23,22,18
440,23,24,16
441,23,25,15
442,23,26,14
443,23,27,13
444,23,28,12
445,23,29,11
446,23,30,10
447,23,31,9
448,23,32,8
449,23,33,7
450,23,34,6
451,23,35,5
452,23,36,4
453,23,37,3
454,23,38,2
455,23,39,1
456,24,20,20
457,24,21,19
458,24,22,18
459,24,23,17
460,24,25,15
461,24,26,14
462,24,27,13
463,24,28,12
464,24,29,11
465,24,30,10
466,24,31,9
467,24,32,8
468,24,33,7
469,24,34,6
470,24,35,5
471,24,36,4
472,24,37,3
473,24,38,2
474,24,39,1
475,25,20,20
476,25,21,19
477,25,22,18
478,25,23,17
479,25,24,16
480,25,26,14
481,25,27,13
482,25,28,12
483,25,29,11
484,25,30,10
485,25,31,9
486,25,32,8
487,25,33,7
488,25,34,6
489,25,35,5
490,25,36,4
491,25,37,3
492,25,38,2
493,25,39,1
494,26,20,20
495,26,21,19
496,26,22,18
497,26,23,17
498,26,24,16
499,26,25,15
500,26,27,13
501,26,28,12
502,26,29,11
503,26,30,10
504,26,31,9
505,26,32,8
506,26,33,7
507,26,34,6
508,26,35,5
509,26,36,4
510,26,37,3
511,26,38,2
512,26,39,1
513,27,20,20
514,27,21,19
515,27,22,18
516,27,23,17
517,27,24,16
518,27,25,15
519,27,26,14
520,27,28,12
521,27,29,11
522,27,30,10
523,27,31,9
524,27,32,8
525,27,33,7
526,27,34,6
527,27,35,5
528,27,36,4
529,27,37,3
530,27,38,2
531,27,39,1
532,28,20,20
533,28,21,19
534,28,22,18
535,28,23,17
536,28,24,16
537,28,25,15
538,28,26,14
539,28,27,13
540,28,29,11
541,28,30,10
542,28,31,9
543,28,32,8
544,28,33,7
545,28,34,6
546,28,35,5
547,28,36,4
548,28,37,3
549,28,38,2
550,28,39,1
551,29,20,20
552,29,21,19
553,29,22,18
554,29,23,17
555,29,24,16
556,29,25,15
557,29,26,14
558,29,27,13
559,29,28,12
560,29,30,10
561,29,31,9
562,29,32,8
563,29,33,7
564,29,34,6
565,29,35,5
566,29,36,4
567,29,37,3
568,29,38,2
569,29,39,1
570,30,20,20
571,30,21,19
572,30,22,18
573,30,23,17
574,30,24,16
575,30,25,15
576,30,26,14
577,30,27,13
578,30,28,12
579,30,29,11
580,30,31,9
581,30,32,8
582,30,33,7
583,30,34,6
584,30,35,5
585,30,36,4
586,30,37,3
587,30,38,2
588,30,39,1
589,31,20,20
590,31,21,19
591,31,22,18
592,31,23,17
593,31,24,16
594,31,25,15
595,31,26,14
596,31,27,13
597,31,28,12
598,31,29,11
599,31,30,10
600,31,32,8
601,31,33,7
602,31,34,6
603,31,35,5
604,31,36,4
605,31,37,3
606,31,38,2
607,31,39,1
608,32,20,20
609,32,21,19
610,32,22,18
611,32,23,17
612,32,24,16
